data,ano,mes,MMBPD
1987-01-01,1987,1,55.48
1987-02-01,1987,2,54.75
1987-03-01,1987,3,54.02
1987-04-01,1987,4,54.61
1987-05-01,1987,5,55.38
1987-06-01,1987,6,55.2
1987-07-01,1987,7,57.66
1987-08-01,1987,8,58.39
1987-09-01,1987,9,57.79
1987-10-01,1987,10,58.01
1987-11-01,1987,11,57.54
1987-12-01,1987,12,57.61
1988-01-01,1988,1,56.76
1988-02-01,1988,2,56.88
1988-03-01,1988,3,57.28
1988-04-01,1988,4,57.64
1988-05-01,1988,5,57.26
1988-06-01,1988,6,57.02
1988-07-01,1988,7,57.33
1988-08-01,1988,8,58.46
1988-09-01,1988,9,58.94
1988-10-01,1988,10,60.52
1988-11-01,1988,11,61.01
1988-12-01,1988,12,61.24
1989-01-01,1989,1,58.4
1989-02-01,1989,2,57.92
1989-03-01,1989,3,58.34
1989-04-01,1989,4,58.78
1989-05-01,1989,5,58.64
1989-06-01,1989,6,58.72
1989-07-01,1989,7,59.19
1989-08-01,1989,8,60.0
1989-09-01,1989,9,60.14
1989-10-01,1989,10,60.58
1989-11-01,1989,11,61.44
1989-12-01,1989,12,61.06
1990-01-01,1990,1,60.75
1990-02-01,1990,2,61.01
1990-03-01,1990,3,61.83
1990-04-01,1990,4,61.46
1990-05-01,1990,5,60.86
1990-06-01,1990,6,60.06
1990-07-01,1990,7,60.17
1990-08-01,1990,8,56.54
1990-09-01,1990,9,59.07
1990-10-01,1990,10,59.44
1990-11-01,1990,11,60.27
1990-12-01,1990,12,60.52
1991-01-01,1991,1,60.34
1991-02-01,1991,2,60.02
1991-03-01,1991,3,60.25
1991-04-01,1991,4,58.95
1991-05-01,1991,5,58.76
1991-06-01,1991,6,58.98
1991-07-01,1991,7,59.93
1991-08-01,1991,8,59.18
1991-09-01,1991,9,60.13
1991-10-01,1991,10,60.17
1991-11-01,1991,11,60.4
1991-12-01,1991,12,60.82
1992-01-01,1992,1,59.75
1992-02-01,1992,2,59.62
1992-03-01,1992,3,58.5
1992-04-01,1992,4,58.33
1992-05-01,1992,5,58.12
1992-06-01,1992,6,58.02
